Date,Pair_Score,ML_Convergence_Prob,Reg_Prediction,Sentiment_Score,Target
2023-01-31,1,0.7595213475059335,0.0056543392573764105,3.5,1
2023-02-01,1,0.45600857384892374,1.8890534105730313e-05,3.5,0
2023-02-02,1,0.8008258277266473,0.009503941422794916,3.5,1
2023-02-03,1,0.6510062328411346,0.019044812469193956,3.5,1
2023-02-06,1,0.46636183269738657,-6.591504779313434e-05,3.5,0
2023-02-07,1,0.6673630038550574,-6.591504779313434e-05,3.5,0
2023-02-08,1,0.5327240141872829,-6.591504779313434e-05,3.5,0
2023-02-09,1,0.4850652833095942,1.9067609654625508e-05,3.5,0
2023-02-10,1,0.5035585957247498,1.9067609654625508e-05,3.5,0
2023-02-13,1,0.7916321599864345,0.007649434995307689,3.5,1
2023-02-14,1,0.45553270427757914,1.8890534105730313e-05,3.5,0
2023-02-15,1,0.5370474827308629,-0.008591294226551088,3.5,0
2023-02-16,1,0.779364623587592,0.010561048227353967,3.5,1
2023-02-17,1,0.6679582215067836,0.034180965606555334,3.5,1
2023-02-21,0,0.39990778984703906,-6.591504779313434e-05,3.5,0
2023-02-22,0,0.4532547319350534,1.9067609654625508e-05,3.5,0
2023-02-23,1,0.6014606710773345,1.9067609654625508e-05,3.5,0
2023-02-24,1,0.5346243785853357,1.9067609654625508e-05,3.5,0
2023-02-27,0,0.4618917760436894,1.9067609654625508e-05,3.5,0
2023-02-28,1,0.5262972669349566,1.9067609654625508e-05,3.5,0
2023-03-01,0,0.5396585406858903,1.9067609654625508e-05,3.5,0
2023-03-02,0,0.4262869997580814,1.9067609654625508e-05,3.5,0
2023-03-03,0,0.5739407628871134,1.9067609654625508e-05,3.5,0
2023-03-06,0,0.6266824213430593,1.9067609654625508e-05,3.5,0
2023-03-07,0,0.4806866166188149,1.9067609654625508e-05,3.5,0
2023-03-08,0,0.49331498607257396,1.9067609654625508e-05,3.5,0
2023-03-09,0,0.5071223338123471,1.9067609654625508e-05,3.5,0
2023-03-10,0,0.4734926799115973,1.9067609654625508e-05,3.5,0
2023-03-13,0,0.5080524276907539,1.9067609654625508e-05,3.5,0
2023-03-14,0,0.45510707949691287,1.9067609654625508e-05,3.5,0
2023-03-15,0,0.5699438893371106,1.9067609654625508e-05,3.5,0
2023-03-16,0,0.5240730022969337,1.9067609654625508e-05,3.5,0
2023-03-17,0,0.6139672901573321,1.9067609654625508e-05,3.5,0
2023-03-20,0,0.533391867597957,1.9067609654625508e-05,3.5,0
2023-03-21,0,0.5099667757447581,1.9067609654625508e-05,3.5,0
2023-03-22,0,0.5018583610535068,1.9067609654625508e-05,3.5,0
2023-03-23,1,0.5147885348145224,1.9067609654625508e-05,3.5,0
2023-03-24,0,0.5517179789424949,1.9067609654625508e-05,3.5,0
2023-03-27,0,0.4654148509709014,1.9067609654625508e-05,3.5,0
2023-03-28,0,0.5384425032652921,1.9067609654625508e-05,3.5,0
2023-03-29,0,0.45081438173804905,1.9067609654625508e-05,3.5,0
2023-03-30,0,0.5524569826822061,1.9067609654625508e-05,3.5,0
2023-03-31,0,0.6033778283895258,1.9067609654625508e-05,3.5,0
2023-04-03,0,0.5170498013940602,4.0648672330715225e-05,3.5,0
2023-04-04,0,0.5381718747038664,1.9067609654625508e-05,3.5,0
2023-04-05,0,0.5184491102506605,1.9067609654625508e-05,3.5,0
2023-04-06,0,0.42885357953708625,1.9067609654625508e-05,3.5,0
2023-04-10,0,0.5201524110097866,1.9067609654625508e-05,3.5,0
2023-04-11,0,0.5936871585915036,1.9067609654625508e-05,3.5,0
2023-04-12,0,0.5201255520698987,1.9067609654625508e-05,3.5,0
2023-04-13,0,0.46707423532715053,1.9067609654625508e-05,3.5,0
